min_tarih,max_tarih,osabook_basit,osabook,toplam_cof_basit,avg_vadeli_bakiye,avg_vadesiz_bakiye,avg_vadeli_tl,avg_th_total,avg_vdeli_spread,avg_vdesiz_dahil_spread,osawelcome,osawelcomeannual,osawelcomeannualwcurrent,osaftp,maliyet_hosgeldin_orani,toplam_ntb,toplam_existing,opening_account,total_inflow_rate,total_outflow_rate,netflow_rate,toplam_musteri,kampanyali_musteri,baseline_musteri,welcome_ustu_musteri,farkli_kampanya_sayisi,toplam_hacim,kampanyali_hacim,baseline_hacim,welcome_ustu_hacim,welcome_bitiyor_bu_hafta,welcome_bitiyor_gelecek_hafta,welcome_bitiyor_bu_hafta_hacim,welcome_bitiyor_gelecek_hafta_hacim,kampanya_bitiyor_gelecek_hafta,kampanya_bitiyor_gelecek_hafta_hacim,kampanya_basliyor_bu_hafta,kampanya_basliyor_bu_hafta_hacim,kampanyali_orani,baseline_orani,welcome_ustu_orani,kampanyali_hacim_orani,baseline_hacim_orani,welcome_ustu_hacim_orani,kampanyali_ort_bakiye,baseline_ort_bakiye,toplam_musteri_degisim,kampanyali_musteri_degisim,toplam_hacim_degisim,kampanyali_hacim_degisim
2024-09-30,2024-10-04,48.09,61.7,43.84,29773.5,2866.23,29773.5,32639.72,-0.85,3.31,53.0,69.83,61.07,47.19,0.83,1092.0,3098.0,4190.0,5.01,3.92,1.09,2075182,870238,1204944,0,12,33018797735.72,12736388124.01,20282409611.71,0.0,3085,3074,394304334.11,1318424425.51,18588,3691002855.29,47654,5359158684.7,0.4194,0.5806,0.0,0.3857,0.6143,0.0,14635.52,16832.66,2620,24245,0.0,12736388124.01
2024-10-07,2024-10-11,48.42,62.23,44.22,31187.87,2976.23,31187.87,34164.1,-1.11,3.04,53.0,69.83,61.07,47.21,0.83,1210.0,3421.0,4631.0,4.46,3.29,1.17,2079420,885101,1194319,0,12,35014089294.06,14771284316.83,20242804977.23,0.0,2749,2944,401121059.93,1271154799.62,158300,7469096875.55,38190,5378903367.14,0.4256,0.5744,0.0,0.4219,0.5781,0.0,16688.81,16949.24,4238,14863,1995291558.34,2034896192.82
2024-10-14,2024-10-18,46.6,59.31,42.53,31848.81,3034.78,31848.81,34883.59,0.41,4.43,52.0,68.14,59.63,47.26,0.82,1165.0,3340.0,4505.0,4.46,4.79,-0.32,2082924,753076,1329848,0,13,34456960077.67,14025369112.31,20431590965.36,0.0,2638,3943,418093958.55,1760599133.45,462206,8887112418.3,30486,6845902293.15,0.3615,0.6385,0.0,0.407,0.593,0.0,18624.11,15363.85,3504,-132025,-557129216.39,-745915204.52
2024-10-21,2024-10-25,46.75,59.55,42.68,30603.11,2918.13,30603.11,33521.24,0.72,4.72,52.0,68.14,59.63,47.27,0.82,991.0,2895.0,3886.0,4.08,4.78,-0.69,2086098,863017,1223081,0,14,33304263413.62,14140753110.9,19163510302.72,0.0,3431,2917,412692822.53,938375147.77,226231,8557254552.85,574743,9831371449.64,0.4137,0.5863,0.0,0.4246,0.5754,0.0,16385.25,15668.23,3174,109941,-1152696664.05,115383998.59
2024-10-28,2024-11-01,46.63,59.36,42.52,30306.46,2919.36,30306.46,33225.82,0.61,4.65,52.0,68.14,59.63,47.27,0.82,943.0,2845.0,3788.0,4.75,4.68,0.07,2089314,674226,1415088,0,14,33492895862.51,13980457996.16,19512437866.35,0.0,2578,2424,428282021.21,871695071.48,31605,7853496108.95,41508,9791984970.56,0.3227,0.6773,0.0,0.4174,0.5826,0.0,20735.57,13788.85,3216,-188791,188632448.89,-160295114.74
2024-11-04,2024-11-08,46.63,59.36,42.57,30705.1,2924.98,30705.1,33630.09,0.12,4.15,52.0,68.14,59.63,47.05,0.82,987.0,2658.0,3645.0,4.51,4.33,0.18,2092021,848601,1243420,0,15,33807808290.7,15939137808.97,17868670481.73,0.0,2206,2306,238855450.12,661668217.0,46374,9064606160.32,210123,11568385994.16,0.4056,0.5944,0.0,0.4715,0.5285,0.0,18782.84,14370.58,2707,174375,314912428.19,1958679812.81
2024-11-11,2024-11-15,47.28,60.41,43.16,31146.58,2937.79,31146.58,34084.36,-0.22,3.79,52.0,68.14,59.63,46.91,0.83,1091.0,3533.0,4624.0,4.46,3.85,0.61,2095429,902930,1192499,0,14,34876378687.4,16038287882.71,18838090804.69,0.0,2149,3140,218037282.87,915184018.92,39217,8988447999.68,105552,10420607154.88,0.4309,0.5691,0.0,0.4599,0.5401,0.0,17762.49,15797.15,3408,54329,1068570396.7,99150073.74
2024-11-18,2024-11-22,47.46,60.69,43.4,32311.75,3015.46,32311.75,35327.22,-0.72,3.28,52.0,68.14,59.63,46.71,0.83,797.0,2286.0,3083.0,4.08,3.61,0.47,2097723,878264,1219459,0,12,35645503745.79,10244869546.37,25400634199.42,0.0,3083,3618,535809690.29,1432282371.04,12780,2721470505.51,19656,4168288090.54,0.4187,0.5813,0.0,0.2874,0.7126,0.0,11664.91,20829.43,2294,-24666,769125058.39,-5793418336.34
2024-11-25,2024-11-29,47.59,60.89,43.52,32693.19,3032.03,32693.19,35725.22,-0.78,3.21,52.0,68.14,59.63,46.79,0.84,674.0,2411.0,3085.0,3.63,3.53,0.1,2099977,873662,1226315,0,11,35851041061.74,8318099926.31,27532941135.43,0.0,3453,3342,699278852.14,1114768245.25,125862,1150772551.87,8662,207626141.31,0.416,0.584,0.0,0.232,0.768,0.0,9520.96,22451.77,2254,-4602,205537315.95,-1926769620.06
2024-12-02,2024-12-06,47.6,60.92,43.54,32846.67,3057.15,32846.67,35903.81,-0.75,3.27,52.0,68.14,59.63,46.89,0.84,560.0,1622.0,2182.0,3.98,4.05,-0.07,2100959,786227,1314732,0,13,35722831904.09,8162563078.48,27560268825.61,0.0,3173,2693,435242955.99,838812511.67,438261,2541793460.98,38919,615375985.71,0.3742,0.6258,0.0,0.2285,0.7715,0.0,10381.94,20962.65,982,-87435,-128209157.65,-155536847.83
2024-12-09,2024-12-13,47.82,61.27,43.75,32582.6,3011.35,32582.6,35593.95,-0.81,3.18,52.0,68.14,59.63,46.9,0.84,551.0,1525.0,2076.0,3.35,3.43,-0.08,2101736,766440,1335296,0,13,35576440731.81,7945834478.93,27630606252.88,0.0,2538,3801,318269961.88,987465988.43,198933,1746023560.71,418760,1995972866.93,0.3647,0.6353,0.0,0.2233,0.7767,0.0,10367.2,20692.5,777,-19787,-146391172.28,-216728599.55
2024-12-16,2024-12-20,47.02,59.98,42.97,32264.09,3018.29,32264.09,35282.38,-0.65,3.38,52.0,68.14,59.63,46.87,0.83,454.0,1639.0,2093.0,3.57,4.17,-0.59,2100746,570978,1529768,0,13,34526227733.82,6139034412.02,28387193321.8,0.0,3618,3195,407608021.98,1070701875.9,74753,820104036.03,4627,279744539.67,0.2718,0.7282,0.0,0.1778,0.8222,0.0,10751.79,18556.53,-990,-195462,-1050212997.99,-1806800066.91
2024-12-23,2024-12-27,47.22,60.31,43.16,30674.35,2875.51,30674.35,33549.87,-0.46,3.55,52.0,68.14,59.63,46.8,0.83,464.0,1495.0,1959.0,3.32,4.12,-0.81,2101654,763945,1337709,0,13,33167583578.51,5846476952.02,27321106626.49,0.0,3068,2890,513619478.43,964781420.78,23151,600539300.23,268103,752020233.93,0.3635,0.6365,0.0,0.1763,0.8237,0.0,7653.01,20423.8,908,192967,-1358644155.31,-292557460.0
2024-12-30,2025-01-03,47.38,60.55,43.29,30649.91,2967.26,30649.91,33617.17,-0.59,3.52,52.0,68.14,59.63,46.49,0.83,483.0,1498.0,1981.0,4.65,3.95,0.7,2102432,791177,1311255,0,13,34407734039.32,9649056827.39,24758677211.93,0.0,2679,3564,405371470.36,846918790.22,9545,403973251.57,50944,3944164137.54,0.3763,0.6237,0.0,0.2804,0.7196,0.0,12195.83,18881.66,778,27232,1240150460.81,3802579875.37
2025-01-06,2025-01-10,46.75,59.56,42.77,32299.25,3006.34,32299.25,35305.59,-1.66,2.32,51.0,66.47,58.2,45.59,0.84,642.0,1649.0,2291.0,4.1,3.24,0.87,2103382,928391,1174991,0,14,35906198875.08,10361795889.07,25544402986.01,0.0,3346,3265,359667066.49,776167527.65,6831,407571045.29,147311,428558890.94,0.4414,0.5586,0.0,0.2886,0.7114,0.0,11161.03,21740.08,950,137214,1498464835.76,712739061.68
2025-01-13,2025-01-17,45.98,58.33,42.1,33824.16,3118.95,33824.16,36943.12,-1.48,2.41,50.0,64.82,56.79,45.03,0.84,590.0,1714.0,2304.0,4.04,3.14,0.91,2104538,948297,1156241,0,14,37631426116.78,11053445059.01,26577981057.77,0.0,3125,3019,323715403.58,1214703276.84,446362,1565165572.41,27424,260470435.07,0.4506,0.5494,0.0,0.2937,0.7063,0.0,11656.1,22986.54,1156,19906,1725227241.7,691649169.94
2025-01-20,2025-01-24,46.11,58.53,42.21,34731.6,3188.08,34731.6,37919.69,-1.82,2.01,50.0,64.82,56.79,44.19,0.84,574.0,1713.0,2287.0,3.75,3.29,0.46,2105795,906709,1199086,0,14,38501431616.06,11235514920.61,27265916695.45,0.0,2874,3779,596247504.38,857103064.97,6382,880733738.46,405148,1133925441.91,0.4306,0.5694,0.0,0.2918,0.7082,0.0,12391.53,22738.92,1257,-41588,870005499.28,182069861.6
2025-01-27,2025-01-31,44.86,56.57,41.05,35624.07,3272.2,35624.07,38896.27,-1.32,2.45,49.0,63.18,55.38,43.8,0.84,607.0,1746.0,2353.0,3.74,3.45,0.29,2107146,923662,1183484,0,14,39069771021.16,12143582327.75,26926188693.41,0.0,3528,2882,321831550.84,908789623.65,154270,2415527052.83,23847,1399043623.55,0.4383,0.5617,0.0,0.3108,0.6892,0.0,13147.21,22751.63,1351,16953,568339405.1,908067407.14
2025-02-03,2025-02-07,44.06,55.32,40.34,36312.34,3352.73,36312.34,39665.07,-1.32,2.42,48.0,61.56,53.99,43.22,0.84,587.0,1687.0,2274.0,4.4,3.99,0.41,2108339,798882,1309457,0,15,39872850520.42,11592535774.21,28280314746.21,0.0,2742,2467,402455584.7,761957179.01,160443,2076752867.43,30070,1377146015.92,0.3789,0.6211,0.0,0.2907,0.7093,0.0,14510.95,21596.98,1193,-124780,803079499.26,-551046553.54
2025-02-10,2025-02-14,43.55,54.54,39.9,36531.17,3331.77,36531.17,39862.94,-1.06,2.6,48.0,61.56,53.99,43.04,0.83,427.0,1370.0,1797.0,3.24,3.25,-0.01,2108990,756109,1352881,0,15,39921020416.62,10175471192.38,29745549224.24,0.0,2358,2216,337851160.3,869407908.15,46609,2450022645.04,118079,319381057.9,0.3585,0.6415,0.0,0.2549,0.7451,0.0,13457.68,21986.82,651,-42773,48169896.2,-1417064581.83
2025-02-17,2025-02-21,43.35,54.23,39.75,35819.63,3262.69,35819.63,39082.32,-0.54,3.04,47.0,59.95,52.62,42.76,0.85,421.0,1405.0,1826.0,3.19,3.77,-0.58,2109581,713949,1395632,0,15,38754461089.21,8037944012.77,30716517076.44,0.0,2116,2868,382419252.18,1123121785.49,110166,1553783793.7,4879,354096947.61,0.3384,0.6616,0.0,0.2074,0.7926,0.0,11258.43,22009.04,591,-42160,-1166559327.41,-2137527179.61
2025-02-24,2025-02-28,42.52,52.95,38.92,34605.82,3150.34,34605.82,37756.15,-0.47,3.1,47.0,59.95,52.62,42.58,0.83,441.0,1243.0,1684.0,3.04,3.77,-0.73,2110294,701852,1408442,0,15,37390263814.59,6809702157.99,30580561656.6,0.0,2466,3343,508410365.48,1240009060.13,22151,2151851649.43,98395,482823221.72,0.3326,0.6674,0.0,0.1821,0.8179,0.0,9702.48,21712.33,713,-12097,-1364197274.62,-1228241854.78
2025-03-03,2025-03-07,43.16,53.93,39.55,33733.73,3079.63,33733.73,36813.37,-0.75,2.82,47.0,59.95,52.62,42.31,0.84,387.0,1432.0,1819.0,3.75,4.15,-0.4,2110855,733541,1377314,0,14,36639308659.55,5732487286.13,30906821373.42,0.0,3155,2263,425301505.55,864047062.5,401000,1026449013.72,54284,1039874036.91,0.3475,0.6525,0.0,0.1565,0.8435,0.0,7814.82,22439.92,561,31689,-750955155.04,-1077214871.86
2025-03-10,2025-03-14,42.62,53.11,39.09,34514.69,3126.41,34514.69,37641.09,-1.19,2.37,47.0,59.95,52.62,41.97,0.83,646.0,1824.0,2470.0,3.85,2.94,0.91,2105708,724693,1381015,0,14,38364351467.2,6010232447.9,32354119019.3,0.0,1948,2183,368076448.77,835150803.36,30641,1087557783.33,393019,623371107.68,0.3442,0.6558,0.0,0.1567,0.8433,0.0,8293.49,23427.78,-5147,-8848,1725042807.65,277745161.77
2025-03-17,2025-03-21,42.76,53.31,39.17,35975.05,3275.4,35975.05,39250.45,-1.25,2.28,46.0,58.36,51.25,41.44,0.85,557.0,1838.0,2395.0,4.24,3.58,0.65,2107396,833086,1274310,0,15,39652857232.39,6680696497.98,32972160734.41,0.0,1735,2053,361187158.71,793998706.11,103369,489540184.7,139402,1021517118.39,0.3953,0.6047,0.0,0.1685,0.8315,0.0,8019.22,25874.52,1688,108393,1288505765.19,670464050.08
2025-03-24,2025-03-28,44.03,55.28,40.28,37511.11,3427.4,37511.11,40938.51,-1.57,2.04,47.0,59.95,52.62,41.89,0.86,582.0,1870.0,2452.0,6.28,4.23,2.06,2109331,920690,1188641,894709,16,43146022263.19,11237336383.2,31908685879.99,7974649490.94,1928,2147,245787511.67,922810230.37,21522,1032991097.41,191370,2736598752.2,0.4365,0.5635,0.4242,0.2604,0.7396,0.1848,12205.34,26844.68,1935,87604,3493165030.8,4556639885.22
